CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,NA
2023-01-15 19:00:00,20923,20925,20677,20819,122.99788247,2558707.80729752
2023-01-15 20:00:00,20821,20900,20781,20873,70.43924111,1469429.80081692
2023-01-15 21:00:00,20880,20926,20844,20904,75.30582891,1572278.30730796
2023-01-15 22:00:00,20902,20931,20873,20905,14.64787213,306350.7873118
2023-01-15 23:00:00,20904,20953,20765,20925,59.00604021,1230923.74478511
2023-01-16 00:00:00,20921,20921,20852,20885,9.04397294,188785.01751133
2023-01-16 01:00:00,20879,21003,20785,20978,69.98997902,1463146.68122114
2023-01-16 02:00:00,20981,21315,20926,21195,322.58337807,6817438.04180891
2023-01-16 03:00:00,21190,21411,21136,21212,303.84053993,6473942.08968753
2023-01-16 04:00:00,21213,21233,21044,21082,126.32312041,2667012.99876399
2023-01-16 05:00:00,21091,21170,21054,21161,61.54298972,1299747.20919584
2023-01-16 06:00:00,21159,21217,21133,21200,66.58851924,1409669.32045321
2023-01-16 07:00:00,21196,21258,21123,21159,51.18062457,1084629.24737446
2023-01-16 08:00:00,21163,21164,21080,21118,44.10582269,931133.63046216
2023-01-16 09:00:00,21119,21119,20691,20751,431.30214353,8978420.425578
2023-01-16 10:00:00,20751,20844,20726,20837,95.83519474,1993299.55375008
2023-01-16 11:00:00,20833,20904,20810,20849,139.48635158,2909262.45644732
2023-01-16 12:00:00,20857,20867,20799,20823,44.59122244,929343.5656735
2023-01-16 13:00:00,20827,20874,20791,20800,28.15543861,586742.19766485
2023-01-16 14:00:00,20810,20872,20779,20826,45.00257557,937176.85370422
2023-01-16 15:00:00,20826,20891,20763,20867,52.47723094,1093996.40924625
2023-01-16 16:00:00,20879,21048,20634,21000,295.89774748,6176334.14362659
2023-01-16 17:00:00,20997,21051,20925,21000,130.78817618,2746594.25208245
2023-01-16 18:00:00,21006,21158,20992,21106,114.08993249,2405720.37422139
2023-01-16 19:00:00,21106,21287,21064,21284,157.6641249,3334519.48091633
2023-01-16 20:00:00,21285,21402,21235,21310,213.13392307,4547883.47308585
2023-01-16 21:00:00,21321,21456,21219,21286,176.46351823,3763162.59477428
2023-01-16 22:00:00,21290,21290,21064,21135,149.26119375,3157293.70775889
2023-01-16 23:00:00,21134,21222,21132,21191,43.56986173,923198.38783466
2023-01-17 00:00:00,21191,21228,21110,21189,73.08356515,1547776.41652986
2023-01-17 01:00:00,21186,21297,21075,21112,116.27744772,2461480.80960747
2023-01-17 02:00:00,21112,21147,20863,21050,173.12081648,3628560.80427551
2023-01-17 03:00:00,21045,21107,20993,21102,49.32924643,1039110.41232594
2023-01-17 04:00:00,21104,21166,21070,21126,43.06433128,909886.89391571
2023-01-17 05:00:00,21127,21230,21107,21160,82.61549152,1748020.03176801
2023-01-17 06:00:00,21162,21187,21136,21147,33.5109412,708968.14589484
2023-01-17 07:00:00,21151,21155,21072,21072,32.30691397,682364.50861223
2023-01-17 08:00:00,21075,21174,21069,21137,66.5407982,1405073.85888155
2023-01-17 09:00:00,21138,21212,21135,21206,61.80206972,1309190.09170617
2023-01-17 10:00:00,21206,21245,21152,21177,63.94567862,1354943.46376168
2023-01-17 11:00:00,21176,21178,21090,21136,92.45294724,1952371.71309854
2023-01-17 12:00:00,21132,21232,21106,21226,52.44458717,1110803.02593139
2023-01-17 13:00:00,21228,21344,21198,21257,84.88313184,1805677.9949634
2023-01-17 14:00:00,21257,21269,21186,21235,66.17650709,1404822.72230368
2023-01-17 15:00:00,21232,21594,21065,21279,454.63929596,9698402.60894946
2023-01-17 16:00:00,21280,21378,21043,21187,215.63481777,4577317.07618653
2023-01-17 17:00:00,21173,21240,21087,21163,114.43276143,2420249.31398588
2023-01-17 18:00:00,21164,21243,21092,21228,88.23779251,1867611.77221475
2023-01-17 19:00:00,21229,21422,21194,21351,145.17524077,3093820.47659805
2023-01-17 20:00:00,21372,21385,21290,21341,48.3900982,1032321.99184953
2023-01-17 21:00:00,21342,21396,21271,21386,52.66828215,1124198.73238811
2023-01-17 22:00:00,21398,21409,21282,21320,44.12672688,941347.93754612
2023-01-17 23:00:00,21316,21343,21217,21232,77.34182273,1645791.67062385
2023-01-18 00:00:00,21232,21274,21133,21134,43.27961449,916714.052479
2023-01-18 01:00:00,21136,21240,21115,21208,31.97934051,676887.97580949
2023-01-18 02:00:00,21207,21261,21183,21236,29.69252364,630347.57613622
2023-01-18 03:00:00,21249,21350,21159,21297,76.71405569,1633137.52748222
2023-01-18 04:00:00,21296,21377,21267,21267,56.71893196,1209895.03792272
2023-01-18 05:00:00,21264,21297,21233,21285,38.7627623,824551.33112264
2023-01-18 06:00:00,21288,21316,21259,21314,26.05125862,554649.37813607
2023-01-18 07:00:00,21318,21318,21252,21263,67.48110103,1436567.46679076
2023-01-18 08:00:00,21263,21312,21249,21310,99.41826869,2113983.8702067
2023-01-18 09:00:00,21311,21317,21219,21250,45.50314594,967555.78826529
2023-01-18 10:00:00,21250,21280,21168,21233,100.19918895,2126728.27691462
2023-01-18 11:00:00,21233,21258,21171,21187,62.44914126,1325783.61112723
2023-01-18 12:00:00,21181,21237,21176,21209,54.30063939,1151866.06422249
2023-01-18 13:00:00,21205,21294,21205,21263,42.34860395,899798.36536046
2023-01-18 14:00:00,21263,21465,21217,21415,186.59977795,3981530.93885785
2023-01-18 15:00:00,21416,21646,21324,21420,251.16759254,5395122.68408005
2023-01-18 16:00:00,21438,21548,20853,21029,506.10297857,10732821.82371824
2023-01-18 17:00:00,21028,21028,20358,20867,914.23179648,18918991.96803704
2023-01-18 18:00:00,20859,21123,20749,20882,448.86936633,9395373.72013373
2023-01-18 19:00:00,20874,21050,20843,20934,147.85372194,3096318.31307574
2023-01-18 20:00:00,20937,20977,20880,20898,46.97037632,983303.15570355
2023-01-18 21:00:00,20899,20933,20675,20732,149.12252956,3096703.68950493
2023-01-18 22:00:00,20720,20833,20716,20780,199.3922014,4141838.73948066
2023-01-18 23:00:00,20779,20808,20629,20808,124.68211639,2584183.58589929
2023-01-19 00:00:00,20799,20811,20647,20670,88.14529803,1827528.19092601
2023-01-19 01:00:00,20678,20756,20678,20696,17.88360788,370400.19406204
2023-01-19 02:00:00,20696,20771,20684,20710,19.70758865,408603.27876411
2023-01-19 03:00:00,20716,20769,20654,20762,16.98487626,352201.19590202
2023-01-19 04:00:00,20761,20806,20747,20750,42.6507179,886111.3859302
2023-01-19 05:00:00,20745,20865,20745,20808,50.3561035,1047148.4419782
2023-01-19 06:00:00,20808,20847,20797,20812,20.86024086,434144.62643006
2023-01-19 07:00:00,20815,20856,20804,20828,32.9866916,687114.43002709
2023-01-19 08:00:00,20834,20844,20804,20811,19.99796983,416383.79879136
2023-01-19 09:00:00,20822,20841,20766,20774,24.4521724,508789.02347117
2023-01-19 10:00:00,20768,20802,20736,20796,80.20326618,1666129.69186973
2023-01-19 11:00:00,20796,20800,20756,20793,41.80034969,868641.46971083
2023-01-19 12:00:00,20793,20793,20714,20738,45.51413444,943969.78831539
2023-01-19 13:00:00,20739,20769,20694,20734,44.09862154,914244.36785288
2023-01-19 14:00:00,20731,20806,20679,20783,131.72199335,2732374.95006516
2023-01-19 15:00:00,20783,20870,20721,20801,185.48982697,3855647.91018164
2023-01-19 16:00:00,20792,20952,20789,20877,681.81337216,14242249.80863374
2023-01-19 17:00:00,20876,20919,20833,20877,111.87237803,2335032.24848411
2023-01-19 18:00:00,20875,20941,20800,20841,99.42451142,2075836.78544024
2023-01-19 19:00:00,20848,21017,20834,20981,156.34511675,3273254.86102246
2023-01-19 20:00:00,20981,21130,20955,21093,140.05104542,2949603.13821674
2023-01-19 21:00:00,21095,21185,21050,21103,128.82543489,2720278.3943596
2023-01-19 22:00:00,21105,21113,20944,20946,129.69795139,2726871.37997936
2023-01-19 23:00:00,20945,21085,20944,21072,84.88362696,1783636.70413831
2023-01-20 00:00:00,21072,21125,21025,21086,84.04909277,1771071.42781326
2023-01-20 01:00:00,21085,21120,21033,21055,145.54200771,3067398.90705842
2023-01-20 02:00:00,21059,21143,21020,21123,71.99066488,1518829.8208244
2023-01-20 03:00:00,21121,21220,21091,21091,96.97473914,2051237.17118095
2023-01-20 04:00:00,21090,21114,21071,21095,37.5411982,791955.22697288
2023-01-20 05:00:00,21095,21128,20981,20997,72.59871227,1527912.64780346
2023-01-20 06:00:00,20992,21034,20962,20988,54.35819369,1141122.99403255
2023-01-20 07:00:00,20983,20994,20934,20944,65.18894067,1366810.23664726
2023-01-20 08:00:00,20944,20998,20869,20970,266.7434777,5591255.46464057
2023-01-20 09:00:00,20968,20985,20911,20948,58.20695442,1219615.04812174
2023-01-20 10:00:00,20948,20991,20916,20962,55.09488222,1154565.19441402
2023-01-20 11:00:00,20962,20967,20920,20965,12.73003011,266661.66156512
2023-01-20 12:00:00,20965,20985,20942,20965,14.47647116,303526.94367879
2023-01-20 13:00:00,20964,21123,20962,21097,87.56556841,1843251.43690913
2023-01-20 14:00:00,21096,21143,21047,21060,46.55509849,982350.87422005
2023-01-20 15:00:00,21060,21161,21023,21152,57.88041808,1221224.52642464
2023-01-20 16:00:00,21151,21242,21114,21144,95.76099617,2027640.15732259
2023-01-20 17:00:00,21150,21416,21148,21304,126.89789596,2702802.15493706
2023-01-20 18:00:00,21323,21409,21288,21361,73.72301515,1574712.8966995
2023-01-20 19:00:00,21370,21435,21300,21391,65.55961328,1401028.29038315
2023-01-20 20:00:00,21396,21530,21366,21505,176.85380255,3789893.84092739
2023-01-20 21:00:00,21528,22375,21518,22279,617.7070394,13555876.72776718
2023-01-20 22:00:00,22287,22429,22218,22320,200.67673262,4477096.45141931
2023-01-20 23:00:00,22322,22721,22322,22593,267.35044455,6030815.92038715
2023-01-21 00:00:00,22600,22750,22589,22678,169.17044656,3829725.3505125
2023-01-21 01:00:00,22670,22790,22442,22582,245.1591404,5542853.33252986
2023-01-21 02:00:00,22578,22620,22557,22567,69.62129095,1572581.70657577
2023-01-21 03:00:00,22567,22629,22522,22554,34.84458154,786819.32380446
