"y";"c";"ncomp";"nperc";"area3";"sex";"anasc";"eta";"yearedu"
16636,652815;16200;1;1;3;1;1948;66;13
13939,661126;18425;1;1;3;2;1925;89;5
20305,497922;15600;1;1;1;2;1934;80;5
13874,424613;8280;1;1;3;2;1932;82;5
14155,201653;15300;2;2;3;1;1927;87;8
16902,199169;8680;2;2;3;1;1947;67;5
6641,9986836;8800;1;1;1;1;1953;61;13
54380,143715;32400;3;2;3;1;1949;65;13
0;11400;1;1;3;2;1954;60;13
43005,876764;28200;5;4;1;2;1958;56;5
30439,088836;14400;2;2;2;1;1950;64;13
30054,979223;9500;2;2;3;2;1948;66;5
32678,326408;28810;2;2;1;1;1960;54;8
28305,206763;36100;2;1;1;2;1945;69;11
47123,345869;23200;2;2;1;1;1931;83;11
18229,832757;16200;2;1;3;1;1958;56;8
14200;9000;2;2;3;2;1944;70;5
22725,656971;26400;4;2;3;1;1938;76;5
31747,553745;30800;1;1;1;2;1935;79;5
29892,062421;5780;2;2;1;1;1949;65;13
26729,328152;21600;2;2;1;1;1950;64;8
19300;22600;4;1;3;1;1957;57;5
44252,633891;32050;2;2;3;2;1951;63;18
39458,935086;29200;2;2;1;1;1934;80;13
16849,170081;14400;2;1;1;1;1942;72;11
23617,226823;23300;1;1;1;2;1937;77;13
27831,154893;35800;2;1;3;1;1955;59;8
12183,218528;11400;2;1;3;2;1936;78;5
30855,170776;21200;2;2;3;2;1937;77;5
65915,195979;38400;2;2;1;1;1948;66;18
12097,330563;9124;1;1;1;1;1923;91;5
68560,493299;27250;4;4;1;1;1952;62;5
11891,290777;8850;1;1;3;2;1949;65;5
26814,661126;15120;2;2;1;1;1939;75;5
16836,652815;15600;1;1;3;2;1920;94;5
28010,995845;25200;5;2;3;2;1966;48;8
30525,656971;15300;2;1;3;2;1939;75;5
54344,932134;26000;2;2;2;1;1957;57;8
18983,168855;8400;1;1;3;2;1934;80;13
19081,218596;18000;1;1;1;2;1938;76;5
7800;9100;1;1;3;2;1925;89;0
16094,661126;11280;1;1;3;2;1938;76;5
12003,298753;7320;1;1;3;2;1940;74;8
10202,546422;12600;4;2;3;1;1960;54;13
31636,652815;27600;2;2;2;1;1952;62;8
27618,342241;16800;1;1;1;2;1934;80;5
